NodeType,MSRCSecurityUpdateSummary,MSRCSecurityUpdateID,MSRCSecurityUpdatePublishedDate,MSRCSecurityUpdateSource,MSRCSecurityUpdateExploitability
[MSRCSecurityUpdate],This post provides an update on the vulnerability in Chromium that affects Microsoft Edge and other products. The vulnerability is due to a heap buffer overflow in WebP. The latest version of Microsoft Edge is no longer vulnerable to this issue.,CVE-2023-4863,30-09-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-4863,Yes
[MSRCSecurityUpdate],This security update provides guidance on enabling LDAP Channel Binding and LDAP Signing to increase the security for communications between LDAP clients and Active Directory domain controllers. It addresses a vulnerability that could allow a man-in-the-middle attacker to forward an authentication request to a Windows LDAP server.,ADV190023,09-01-2024,https://msrc.microsoft.com/update-guide/vulnerability/ADV190023,Less Likely
[MSRCSecurityUpdate],"This is an informational update regarding the Internet Connection Sharing (ICS) Remote Code Execution Vulnerability. The vulnerability allows for remote code execution with a maximum severity level of 'Critical'. The attack vector is adjacent, meaning the attack must be launched from the same shared physical or logical network. The attack complexity is low, indicating that an attacker can expect repeatable success against the vulnerable component. No user interaction is required for the exploit, and the scope of the attack remains unchanged. The impact of a successful exploit results in high loss of confidentiality, integrity, and availability.",CVE-2023-38148,28-09-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-38148,Not provided
[MSRCSecurityUpdate],"This is an informational update on the Visual Studio Remote Code Execution Vulnerability. The vulnerability allows an attacker to execute remote code on the affected system. The attack vector is network-based and does not require any special access conditions. The attacker does not require any privileges and can expect repeatable success against the vulnerable component. User interaction is required for successful exploitation. The impact of a successful attack is high, resulting in total loss of confidentiality, integrity, and availability.",CVE-2022-35825,22-09-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-35825,Not provided
[MSRCSecurityUpdate],This is an informational update on the vulnerability in the Reliability Analysis Metrics Calculation (RacTask) that could lead to an elevation of privilege. The vulnerability has a base score of 7.1 and a temporal score of 6.2. The attack vector is local and the attack complexity is low. The attacker requires low privileges and no user interaction is needed for the exploit. The impact of the exploit is high on integrity and availability but none on confidentiality.,CVE-2023-36876,18-09-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36876,Not provided
[MSRCSecurityUpdate],"This security update addresses a heap buffer overflow vulnerability in vp8 encoding in libvpx, which is consumed by Microsoft Edge (Chromium-based). Google has confirmed that an exploit for this vulnerability exists in the wild. Microsoft is working to address this vulnerability in affected versions of Microsoft Teams and Skype applications.",CVE-2023-5217,29-09-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-5217,Yes
[MSRCSecurityUpdate],"This is an informational update on the Microsoft Edge (Chromium-based) Security Feature Bypass Vulnerability. The vulnerability allows an attacker to bypass security features in Microsoft Edge. The attack vector is network-based, and the attack complexity is low. The attacker does not require any special privileges and user interaction is required for successful exploitation. The impact of the vulnerability is low on confidentiality and integrity, with no impact on availability.",CVE-2023-29345,26-09-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29345,Not provided
[MSRCSecurityUpdate],"This is an information change only regarding the Windows Remote Desktop Gateway (RD Gateway) Information Disclosure Vulnerability. The vulnerability allows for information disclosure with a maximum severity level of 'Important'. The attack vector is network-based, with low attack complexity and low privileges required. No user interaction is required for the exploit. The confidentiality impact is high, but there is no impact on integrity or availability.",CVE-2023-29348,20-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29348,Not provided
[MSRCSecurityUpdate],"This is an informational update on the vulnerability CVE-2023-38545, a SOCKS5 heap buffer overflow. The vulnerability impacts curl.exe software used by Microsoft Windows. The exploit is not active by default and requires specific conditions to be met. Microsoft is working on releasing an update to address this vulnerability.",CVE-2023-38545,20-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-38545,Unproven
[MSRCSecurityUpdate],"This is an informational update regarding a remote code execution vulnerability in Microsoft Dynamics NAV and Microsoft Dynamics 365 Business Central (On Premises). The vulnerability has a critical severity level and can be exploited over the network. The attack complexity is high and requires certain conditions beyond the attacker's control. The attacker requires low privileges and no user interaction is needed for the exploit. The exploit can affect resources beyond the security scope managed by the vulnerable component, leading to a total loss of confidentiality and integrity.",CVE-2022-41127,10-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41127,Not provided
[MSRCSecurityUpdate],"This is an information change only regarding Azure Identity SDK Remote Code Execution Vulnerability. The vulnerability allows for remote code execution with a maximum severity level of 'Important'. The attack vector is network-based, with low attack complexity and low privileges required. No user interaction is required for the exploit. The scope of the vulnerability remains unchanged, but the confidentiality, integrity, and availability of the system are highly impacted.",CVE-2023-36414,13-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36414,Not provided
[MSRCSecurityUpdate],This post provides an update on the Microsoft SQL OLE DB Remote Code Execution Vulnerability. It includes updated product information in the Software Update table. This is an informational change only.,CVE-2023-36417,16-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36417,Not provided
[MSRCSecurityUpdate],"This security update addresses a vulnerability in curl.exe software which is consumed by Microsoft Windows. The vulnerability can cause a denial of service of curl. Microsoft is actively working to release version 8.4.0 of curl.exe in a future Windows update for currently supported, on-premise versions of Windows clients and servers.",CVE-2023-38039,20-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-38039,Unlikely
[MSRCSecurityUpdate],"This is an information change only regarding the Azure Identity SDK Remote Code Execution Vulnerability. The vulnerability allows for remote code execution with a high impact on confidentiality, integrity, and availability. The attack vector is network-based, with low complexity and requires low privileges. No user interaction is required for the exploit.",CVE-2023-36415,13-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36415,Not provided
[MSRCSecurityUpdate],"This is an informational update on the Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability. The vulnerability allows for remote code execution with a high impact on confidentiality, integrity, and availability. The attack vector is local, with low attack complexity and no privileges required. User interaction is required for successful exploitation.",CVE-2023-36730,11-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36730,Not provided
[MSRCSecurityUpdate],"This is an informational update regarding the Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability. The vulnerability allows for remote code execution with a high impact on confidentiality, integrity, and availability. The attack vector is local, requiring user interaction, with no special access conditions or extenuating circumstances for the attacker.",CVE-2023-36420,11-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36420,Not provided
[MSRCSecurityUpdate],"This is an informational update regarding the Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability. The vulnerability allows for remote code execution with a high impact on confidentiality, integrity, and availability. The attack vector is local, with low attack complexity and no privileges required. User interaction is required for successful exploitation.",CVE-2023-36785,11-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36785,Not provided
[MSRCSecurityUpdate],This security update corrects Article links for Microsoft .NET Framework 3.5 AND 4.8.1 installed on Windows 11 Version 22H2 for x64-based Systems and Windows 11 Version 22H2 for ARM64-based Systems. This is an informational change only.,CVE-2023-36794,26-09-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36794,Not provided
[MSRCSecurityUpdate],This post provides an update on the Visual Studio Remote Code Execution Vulnerability. It corrects the Article links for Microsoft .NET Framework 3.5 AND 4.8.1 installed on Windows 11 Version 22H2 for x64-based Systems and Windows 11 Version 22H2 for ARM64-based Systems. This is an informational change only.,CVE-2023-36793,26-09-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36793,Not provided
[MSRCSecurityUpdate],This security update addresses a vulnerability in Windows Server 2008 R2 and Windows Server 2012. The vulnerability allows for a security feature bypass in the MSHTML platform. Microsoft recommends installing the September 2023 updates and the IE Cumulative update for full protection.,CVE-2023-36805,22-09-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36805,Not provided
[MSRCSecurityUpdate],This is an informational update regarding a Denial of Service vulnerability in Microsoft SQL Server. The vulnerability has a maximum severity level of 'Important'. The attack vector is local and the attack complexity is low. The vulnerability can be exploited without any user interaction and results in a total loss of availability.,CVE-2023-36728,11-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36728,Not provided
[MSRCSecurityUpdate],This security update addresses a critical vulnerability in the Layer 2 Tunneling Protocol that could allow remote code execution. The vulnerability is exploitable over the network and requires high attack complexity. The attacker does not require any privileges or user interaction to exploit the vulnerability. The impact of a successful attack includes total loss of confidentiality and integrity of the affected component.,CVE-2023-41765,16-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-41765,Not provided
[MSRCSecurityUpdate],This security update addresses a vulnerability in the Windows Common Log File System Driver that could lead to information disclosure. The vulnerability can be exploited locally with low attack complexity and does not require user interaction. The impact of a successful exploit is high on confidentiality but has no impact on integrity and availability.,CVE-2023-36713,10-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36713,Not provided
[MSRCSecurityUpdate],Information published about a Remote Procedure Call Information Disclosure Vulnerability.,CVE-2023-36596,10-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36596,Not provided
[MSRCSecurityUpdate],"Security update for Microsoft Visual Studio 2022 and Microsoft .NET Framework 3.5, 4.6.2, 4.7, 4.7.1, 4.7.2 on Windows Server 2016. The vulnerability allows remote code execution with a severity level of critical.",CVE-2023-36796,21-11-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36796,Unavailable
[MSRCSecurityUpdate],This security update addresses a remote code execution vulnerability in Microsoft Visual Studio 2013 Update 5 and Visual Studio 2015 Update 3. Microsoft recommends that customers running any of these products install the updates to be fully protected from the vulnerability.,CVE-2023-36792,10-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36792,Not provided
[MSRCSecurityUpdate],This post provides an update on the security vulnerability in the .NET Framework that could allow for remote code execution. The update corrects the article links for Microsoft .NET Framework 3.5 and 4.8.1 installed on Windows 11 Version 22H2 for x64-based and ARM64-based Systems.,CVE-2023-36788,26-09-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36788,Not provided
[MSRCSecurityUpdate],This post provides information about a remote code execution vulnerability in Azure Identity SDK. The vulnerability allows an attacker to execute arbitrary code on the target system. The severity of this vulnerability is marked as important.,CVE-2023-36414,10-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36414,High
[MSRCSecurityUpdate],In the Security Updates table corrected the Article and Download links for Windows Server 2022 and Windows Server 2022 (Server Core installation). This is an informational change only.,CVE-2022-41113,12-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41113,Not provided
[MSRCSecurityUpdate],This post provides an update on the Microsoft WordPad Information Disclosure Vulnerability. It includes updated FAQ information and is an informational change only.,CVE-2023-36563,11-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36563,High
[MSRCSecurityUpdate],This security update addresses a remote code execution vulnerability in Microsoft Message Queuing. The vulnerability allows an attacker to execute arbitrary code if they can send a specially crafted message to the Microsoft Message Queuing service.,CVE-2023-36578,10-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36578,High
[MSRCSecurityUpdate],"This security update addresses a vulnerability in the Microsoft WDAC OLE DB provider for SQL Server that could allow remote code execution. The vulnerability is exploitable over the network and does not require specialized access conditions. Successful exploitation requires user interaction and could result in total loss of confidentiality, integrity, and availability.",CVE-2023-36577,10-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36577,Not provided
[MSRCSecurityUpdate],This security update addresses a remote code execution vulnerability in Microsoft Message Queuing. The vulnerability allows an attacker to execute arbitrary code if they can convince a user to perform certain actions. The severity of the vulnerability is rated as important.,CVE-2023-36575,10-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36575,High
[MSRCSecurityUpdate],This security update addresses a remote code execution vulnerability in Microsoft Message Queuing. The vulnerability allows an attacker to execute arbitrary code if they can send a specially crafted message to the Microsoft Message Queuing service.,CVE-2023-36574,10-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36574,High
[MSRCSecurityUpdate],This security update addresses a remote code execution vulnerability in Microsoft Message Queuing. The vulnerability allows an attacker to execute arbitrary code if they can send a specially crafted message to the Microsoft Message Queuing service.,CVE-2023-36573,10-10-2023,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36573,High
