NodeType,SymptomDescription,SymptomID
[Symptom],BitLocker might incorrectly show a 65000 error in the 'Require Device Encryption' setting. This issue is a reporting issue only and does not affect drive encryption or the reporting of other issues on the device.,BitLockerIncorrect65000Error
[Symptom],Starting virtual machines may fail after the installation of the October 2023 cumulative update.,StartingVmsMayFailAfterInstallation
[Symptom],Unsafe default configurations for LDAP channel binding and LDAP signing exist on Active Directory domain controllers that let LDAP clients communicate with them without enforcing LDAP channel binding and LDAP signing. This can open Active Directory domain controllers to an elevation of privilege vulnerability.,ElevationOfPrivilegeVulnerability
[Symptom],The email mentions a CVE vulnerability related to libwebp. The specific details of the vulnerability are not provided.,VulnerabilityInLibwebp
[Symptom],"The vulnerability causes a heap buffer overflow in vp8 encoding in libvpx, which is consumed by Microsoft Edge (Chromium-based). An exploit for this vulnerability exists in the wild.",HeapBufferOverflowInVp8Encoding
[Symptom],"When trying to copy a range in Excel 2016 on Windows 11 22H2, the application hangs and the memory consumed keeps increasing.",ExcelHangsWhenCopyingRange
[Symptom],"Microsoft has addressed 103 vulnerabilities, surpassing the number from September. Notably, there are 16 critical vulnerabilities fixed this month, a significant increase compared to the previous month. Furthermore, three zero-day vulnerabilities are addressed, with proof of concept available for two of them.",WindowsVulnerabilities
[Symptom],"After patching servers with the September patches, the Curl vulnerability is still seen in Tenable.",CurlVulnerabilityInTenable
[Symptom],The symptom of this vulnerability is a heap buffer overflow in the SOCKS5 protocol when using the curl.exe utility.,HeapBufferOverflow
[Symptom],"After installing Office update KB5002457, Outlook breaks. Uninstalling the update fixes the issue, but it reoccurs if the update reinstalls.",OutlookBreaksAfterUpdate
[Symptom],"Many devices and software, such as HP and Xerox printers, Barracuda web content filter, and McAfee ePo, are using LDAP and may need to be updated to support the new binding or use LDAPS with a certificate.",LdapEnforceChannelBindingNotEnforced
[Symptom],The vulnerability can cause a denial of service of curl when the victim manually launches the curl utility and directs it to connect to a compromised server.,DenialOfServiceOfCurl
[Symptom],Windows 11 22H2 clients in a WSUS deployment are not receiving updates despite patches being approved.,Windows11NotReceivingUpdates
[Symptom],Search is back with a 'people' link on desktops where they had disabled search after the October updates.,SearchBoxReappearsAfterUpdate
[Symptom],HP computers not on BIOS released after September can get stuck in a boot loop and need a new motherboard.,BootLoopIssue
[Symptom],"A vulnerability in the dynamic loader's processing of the GLIBC_TUNABLES environment variable allows for a buffer overflow, leading to local privilege escalation.",LinuxPrivilegeEscalationExploit
[Symptom],ESXI hosts are not updated to version 8 and are experiencing penalties.,ESXIHostsPenalties
[Symptom],The vulnerability allows for a security feature bypass in the MSHTML platform.,SecurityFeatureBypassInMSHTML
[Symptom],"The system administrator is receiving copies of all sent emails, indicating a potential issue with the email system.",AdminReceivingCopiesOfSentEmails
[Symptom],"After patching and rebooting, one of the replicated CSVs showed as MBR in disk management, instead of GPT. This caused one lost VM.",VirtualMachinesFailedToStartAfterInstalling
[Symptom],The vulnerability allows an attacker to execute arbitrary code remotely through the Layer 2 Tunneling Protocol.,RemoteCodeExecutionThroughLayer2TunnelingProtocol
[Symptom],"The vulnerability can be exploited locally, without user interaction, leading to information disclosure.",LocalExploitationOfVulnerability
[Symptom],MS System Center has pushed out patches that have already been installed on a server. The patches were reinstalled and are pending a reboot to finish.,PatchReinstallationIssue
[Symptom],The vulnerability allows unauthorized attackers to disclose information via a network attack.,symptom_221ce347-fc3f-d97b-b046-c7472eba9eca_1
[Symptom],Windows 10 and 11 Home devices are not upgrading to version 22H2.,WindowsHomeNotUpgradingTo22H2
[Symptom],The vulnerability allows an attacker to execute arbitrary code remotely.,RemoteCodeExecution
[Symptom],The SSU page ADV990001 is not up to date and it appears to be missing the 2016 SSU for September even though the page says it was updated on Sept 12th.,SSUPageNotUpdated
[Symptom],The vulnerability allows an attacker to execute arbitrary code remotely on the affected system.,RemoteCodeExecutionVulnerability
[Symptom],The October update has an underlying issue that can affect both Hyper-V and VMware Windows 2019 and 2022 VM's.,PatchAffectsHyperVAndVMware
[Symptom],The system is vulnerable to a Denial of Service attack due to rapid resetting of HTTP/2 connections.,RapidResetAttack
[Symptom],The user is experiencing issues with Office.,OfficeIssues
[Symptom],The registry keys on the domain controllers did not change to enforce the full Kerberos protocol settings as expected after the October updates.,KerberosProtocolSettingsNotEnforced
[Symptom],"The vulnerability allows for information disclosure through a network attack vector. The attacker can exploit the vulnerability remotely, and the attack is exploitable at the protocol level one or more network hops away.",InformationDisclosureThroughNetwork
[Symptom],"After uninstalling KB5002457 and having installed KB5002498, an 'Ordinal Not Found' error occurs and the app won't start.",UninstallKB5002457InstalledKB5002498
[Symptom],"After installing the October CU (KB5031362) patch, the guest OS may not start on ESXi 6.5.",GuestOSNotStartingAfterPatchInstallation
[Symptom],An attacker can execute arbitrary code remotely by sending a specially crafted message to the Microsoft Message Queuing service.,RemoteCodeExecutionThroughMessage
[Symptom],Successful exploitation of this vulnerability requires a user to take some action before the vulnerability can be exploited.,UserInteractionRequiredForExploitation
[Symptom],"Windows Backup app shows variation in settings between different devices, including the selection of folders for backup.",WindowsBackupShowsVariationInSettings
[Symptom],Successful exploitation of this vulnerability requires a user to take some action before the vulnerability can be exploited.,UserActionRequiredForExploit
[Symptom],"The October 2023 security update for Windows 10, version 22H2 and 21H2, fails to install. The update initially shows progress but then fails to complete installation. The most common error encountered is Error 8007000D (ERROR_INVALID_DATA).",UpdateFailsToInstall
[Symptom],"WSUS is not detecting the need for a critical 'dynamic update' on Windows 11 22H2 systems. Despite the patch being approved and set appropriately, the Windows 11 systems are reporting as 100% patched and not needing the update.",WSUSNotDetectingWindows11Updates
[Symptom],An attacker can execute arbitrary code remotely by sending specially crafted input to a program that uses the Microsoft Message Queuing service.,RemoteCodeExecutionThroughMessageQueuing
